Contract,Contract Title,Reference Nr,Order Nr,Item Nr,Order Date,Transaction Date,Title,SKUs,Partner SKUs,Transaction Type,Currency,Net Proceeds,Referral Fee including VAT,Fullfilment & Logistics Fees including VAT,Shipping Credits including VAT,Other Order Fees including VAT,Order Subsidies including VAT,Non-Order Fees including VAT,Non-Order Subsidies including VAT,Others including VAT,Total
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260527,NA,,,5/27/2026,Advertising Fee,,,statement_fee,EGP,0,0,0,0,0,0,-2.51,0,0,-2.51
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260527,NEGI50013311485,NEGI50013311485-1,5/23/2026,5/27/2026,Fast-Lighting Charcoal for Incense | 10 tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets From Al-shola,Z25DB4A4EB8C14E142F16Z-1,CHAR-10-BUNDLE,order,EGP,49,-7.26,0,0,0,0,0,0,0,41.74
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260527,NEGI50017839289,NEGI50017839289-1,5/16/2026,5/27/2026,Fast-Lighting Charcoal for Incense | 100 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from AlShola,Z1D201356C48A54CE18A6Z-1,CHAR-100-BOX,order,EGP,175,-25.94,-23.37,0,0,0,0,0,0,125.69
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260527,NEGI50030039927,NEGI50030039927-3,5/17/2026,5/27/2026,Fast-Lighting Charcoal for Incense | 30 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from Al-Shola,ZF4C5346D6D2232315242Z-1,CHAR-30-BUNDLE,order_update,EGP,0,0,-22.8,0,0,0,0,0,0,-22.8
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260527,NEGI50036051114,NEGI50036051114-3,5/17/2026,5/27/2026,Fast-Lighting Charcoal for Incense | 30 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from Al-Shola,ZF4C5346D6D2232315242Z-1,CHAR-30-BUNDLE,order,EGP,85,-12.6,-22.8,0,0,0,0,0,0,49.6
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260527,NEGI50038179938,NEGI50038179938-1,5/22/2026,5/27/2026,Fast-Lighting Charcoal for Incense | 10 tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets From Al-shola,Z25DB4A4EB8C14E142F16Z-1,CHAR-10-BUNDLE,order,EGP,49,-7.26,-23.37,0,0,0,0,0,0,18.37
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260527,NEGI50049723247,NEGI50049723247-3,5/14/2026,5/27/2026,Fast-Lighting Charcoal for Incense | 30 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from Al-Shola,ZF4C5346D6D2232315242Z-1,CHAR-30-BUNDLE,order,EGP,85,-12.6,-22.8,0,0,0,0,0,0,49.6
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260527,NEGI50050051296,NEGI50050051296-4,5/13/2026,5/27/2026,Fast-Lighting Charcoal for Incense | 30 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from Al-Shola,ZF4C5346D6D2232315242Z-1,CHAR-30-BUNDLE,order,EGP,0,0,-22.8,0,0,0,0,0,0,-22.8
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260527,NEGI50064458796,NEGI50064458796-1,5/15/2026,5/27/2026,Fast-Lighting Charcoal for Incense | 100 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from AlShola,Z1D201356C48A54CE18A6Z-1,CHAR-100-BOX,order,EGP,0,0,-23.37,0,0,0,0,0,0,-23.37
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260527,NEGI50067152765,NEGI50067152765-1,5/23/2026,5/27/2026,Fast-Lighting Charcoal for Incense | 10 tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets From Al-shola,Z25DB4A4EB8C14E142F16Z-1,CHAR-10-BUNDLE,order,EGP,49,-7.26,0,0,0,0,0,0,0,41.74
